装配顺序,品牌,配置,动力,驱动,颜色,喷涂线
1,A1,B3,汽油,两驱,蓝,C1
2,A1,B5,汽油,两驱,白,C2
3,A1,B2,汽油,两驱,白,C2
4,A1,B2,汽油,两驱,白,C2
5,A1,B2,汽油,两驱,白,C2
6,A1,B2,汽油,两驱,白,C2
7,A1,B2,汽油,两驱,白,C2
8,A1,B2,汽油,两驱,白,C2
9,A1,B2,汽油,两驱,白,C2
10,A1,B2,汽油,两驱,白,C2
11,A1,B2,汽油,两驱,白,C2
12,A1,B2,汽油,两驱,白,C2
13,A1,B2,汽油,两驱,白,C2
14,A1,B2,汽油,两驱,白,C2
15,A1,B2,汽油,两驱,白,C2
16,A1,B2,汽油,两驱,白,C2
17,A1,B1,汽油,两驱,白,C2
18,A1,B1,汽油,两驱,白,C2
19,A1,B1,汽油,两驱,白,C2
20,A1,B1,汽油,两驱,白,C2
21,A1,B1,汽油,两驱,白,C2
22,A1,B1,汽油,两驱,白,C2
23,A1,B1,汽油,两驱,白,C2
24,A1,B1,汽油,两驱,白,C2
25,A1,B1,汽油,两驱,白,C2
26,A1,B1,汽油,两驱,白,C2
27,A1,B1,汽油,两驱,白,C2
28,A1,B1,汽油,两驱,白,C2
29,A1,B1,汽油,两驱,白,C2
30,A1,B1,汽油,两驱,白,C2
31,A1,B1,汽油,两驱,白,C2
32,A1,B1,汽油,两驱,白,C2
33,A1,B1,汽油,两驱,白,C2
34,A1,B1,汽油,两驱,白,C2
35,A1,B1,汽油,两驱,白,C2
36,A1,B1,汽油,两驱,白,C2
37,A1,B1,汽油,两驱,白,C2
38,A1,B1,汽油,两驱,白,C2
39,A1,B1,汽油,两驱,白,C2
40,A1,B1,汽油,两驱,白,C2
41,A1,B1,汽油,两驱,白,C2
42,A1,B1,汽油,两驱,白,C2
43,A1,B1,汽油,两驱,白,C2
44,A1,B1,汽油,两驱,白,C2
45,A1,B1,汽油,两驱,白,C2
46,A1,B1,汽油,两驱,白,C2
47,A1,B1,汽油,两驱,白,C2
48,A1,B1,汽油,两驱,白,C2
49,A1,B1,汽油,两驱,白,C2
50,A1,B1,汽油,两驱,白,C2
51,A1,B1,汽油,两驱,白,C2
52,A1,B1,汽油,两驱,白,C2
53,A1,B1,汽油,两驱,白,C2
54,A1,B1,汽油,两驱,白,C2
55,A1,B1,汽油,两驱,白,C2
56,A1,B1,汽油,两驱,白,C2
57,A1,B1,汽油,两驱,白,C2
58,A1,B1,汽油,两驱,白,C2
59,A1,B1,汽油,两驱,白,C2
60,A1,B1,汽油,两驱,白,C2
61,A1,B1,汽油,两驱,蓝,C1
62,A1,B1,汽油,两驱,白,C2
63,A1,B1,汽油,两驱,白,C2
64,A1,B1,汽油,两驱,白,C2
65,A1,B1,汽油,两驱,白,C2
66,A1,B1,汽油,两驱,白,C2
67,A1,B1,汽油,两驱,白,C2
68,A1,B1,汽油,两驱,白,C2
69,A1,B1,汽油,两驱,白,C2
70,A1,B1,汽油,两驱,白,C2
71,A1,B1,汽油,两驱,白,C2
72,A1,B1,汽油,两驱,白,C2
73,A1,B1,汽油,两驱,白,C2
74,A1,B1,汽油,两驱,白,C2
75,A1,B1,汽油,两驱,蓝,C1
76,A1,B1,汽油,四驱,黑,C1
77,A1,B1,汽油,四驱,黑,C1
78,A1,B1,汽油,两驱,黑,C1
79,A1,B1,汽油,两驱,黑,C1
80,A1,B1,汽油,两驱,黑,C1
81,A1,B1,汽油,两驱,黑,C1
82,A1,B1,汽油,两驱,黑,C1
83,A1,B1,汽油,两驱,黑,C1
84,A1,B1,汽油,两驱,黑,C1
85,A1,B1,汽油,两驱,黑,C1
86,A1,B1,汽油,两驱,黑,C1
87,A1,B1,汽油,两驱,黑,C1
88,A1,B1,汽油,四驱,黑,C1
89,A1,B1,汽油,四驱,黑,C1
90,A1,B1,汽油,两驱,黑,C1
91,A1,B1,汽油,两驱,黑,C1
92,A1,B1,汽油,两驱,黑,C1
93,A1,B1,汽油,两驱,黑,C1
94,A1,B1,汽油,两驱,黑,C1
